"file","mid","description","score"
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0070.png","/m/07bs0","tennis",0.97182363
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0070.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0070.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0071.png","/m/06ntj","sports",0.98520005
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0071.png","/m/07bs0","tennis",0.96325994
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0071.png","/m/02xhr73","tennis player",0.93743414
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0071.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0072.png","/m/06ntj","sports",0.97671586
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0072.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0073.png","/m/06ntj","sports",0.95707452
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0073.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0073.png","/m/0541p","multimedia",0.64257061
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0073.png","/m/030swj","mobile device",0.5302434
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0074.png","/m/06ntj","sports",0.98354709
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0074.png","/m/07bs0","tennis",0.96899682
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0074.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0074.png","/m/0c02pp7","athletics",0.56306261
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0074.png","/m/0bmgjqz","sport venue",0.50441736
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0075.png","/m/06ntj","sports",0.98498988
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0075.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0075.png","/m/08fgwk","contact sport",0.81817585
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0075.png","/m/05kc29","combat sport",0.72727275
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0075.png","/m/07bs0","tennis",0.67099392
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0076.png","/m/06ntj","sports",0.98552668
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0076.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0077.png","/m/06ntj","sports",0.984661
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0077.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0077.png","/m/067_4k","4 100 metres relay",0.79131126
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0077.png","/m/07bs0","tennis",0.7435863
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0077.png","/m/0by3w","jumping",0.7265324
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0078.png","/m/06ntj","sports",0.98573709
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0078.png","/m/07bs0","tennis",0.97183049
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0078.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0078.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0079.png","/m/06ntj","sports",0.98561871
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0079.png","/m/07bs0","tennis",0.97177893
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0079.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0079.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0080.png","/m/06ntj","sports",0.98563695
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0080.png","/m/07bs0","tennis",0.971818
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0080.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0080.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0081.png","/m/06ntj","sports",0.98542958
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0081.png","/m/07bs0","tennis",0.97180521
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0081.png","/m/020m7t","ball game",0.9285714
